,ave_household_size,median_income,rental_vacancy_rate,p_units_1_detached,p_units_1,p_units_2,p_units_34,p_units_59,p_units_10,p_units_20,p_built_2014,p_built_2010,p_built_2000,p_built_1990,p_built_1980,p_built_1970,p_built_1960,p_built_1950,p_built_1940,p_built_1930,median_rooms,median_rent,median-value
28316,2.32,42175.0,2.2,67.9,3.2,3.5,9.0,11.0,3.2,0.3,0.6,5.6,2.7,5.1,6.4,13.9,8.9,18.8,12.5,25.5,5.3,733.0,141700.0
28317,3.04,38250.0,0.0,80.0,0.6,3.2,1.1,4.1,7.5,0.0,0.4,0.0,3.4,6.4,4.5,9.6,4.3,11.9,7.5,52.0,5.8,527.0,66900.0
28318,2.14,41171.0,9.9,64.5,4.3,7.2,6.8,3.1,2.5,9.6,0.0,0.5,3.1,3.2,2.9,12.5,11.4,10.9,11.6,43.8,5.7,616.0,104300.0
28319,2.18,58125.0,3.0,48.7,0.9,2.6,15.7,21.9,3.1,0.9,0.0,0.6,11.4,30.8,18.5,19.4,8.3,3.1,0.6,7.4,5.1,866.0,173400.0
28320,2.27,31968.0,5.1,83.9,0.0,1.9,4.8,4.4,1.5,0.3,0.0,0.4,7.8,1.3,6.9,17.9,11.7,13.8,10.5,29.7,5.5,724.0,103600.0
28321,2.08,16190.0,20.5,55.0,0.0,4.3,10.6,2.0,0.0,17.2,0.0,0.0,6.6,11.6,21.9,5.6,4.0,14.9,19.5,15.9,5.0,410.0,50200.0
28323,2.0,24527.0,0.0,83.8,0.0,4.7,1.9,0.0,0.0,0.0,0.0,0.0,1.9,12.8,10.3,9.6,30.8,11.8,9.2,13.7,5.4,777.0,107500.0
28324,2.01,23652.0,2.5,62.1,3.7,5.5,5.0,5.3,9.5,5.4,0.0,0.0,2.9,5.2,10.2,16.7,10.5,18.2,12.0,24.3,5.6,580.0,72700.0
28325,2.38,56750.0,0.0,84.1,3.1,6.0,1.0,0.0,0.0,1.3,0.0,4.0,6.5,8.8,6.0,13.5,13.8,24.0,2.6,20.8,6.4,704.0,136800.0
28326,2.48,39792.0,0.0,95.7,1.2,1.9,0.6,0.0,0.0,0.0,0.0,0.0,2.5,1.9,0.0,2.5,5.6,14.2,25.9,47.5,5.3,800.0,49200.0
28327,2.45,59844.0,3.8,76.7,1.5,0.0,0.5,3.4,2.0,8.4,2.0,1.5,7.0,29.9,14.1,28.0,6.9,0.6,3.0,6.9,6.1,509.0,165900.0
28331,2.37,41205.0,5.1,61.7,1.6,9.3,4.7,3.5,3.7,3.0,0.0,1.0,7.6,14.4,8.7,31.6,11.4,11.9,3.4,10.0,5.4,534.0,104300.0
28332,2.47,73125.0,0.0,91.2,4.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.2,8.8,14.9,17.0,11.9,10.8,28.4,6.5,1125.0,136800.0
