,poverty,ave_household_size,p_highschool_plus,p_bachelors_plus,p_native_born,p_unemployed,p_occ_business_science_art,p_occ_service,p_occ_sales_office,p_occ_resources_construction,p_occ_production_transport,med_household_income,mean_household_income,p_household_owner_occupied,p_household_renter_occupied,p_grapi_15,p_grapi_15-19.9,p_grapi_20-24.9,p_grapi_25-29.9,p_grapi_30-34.9,p_grapi_35,total_pop,p_race_white,p_race_black,p_race_am_indian,p_race_asian,p_race_nat_hawaiian_pac_islander,p_race_other,p_race_hispanic
23449,0.0,3.09,90.7,19.6,97.1,6.0,44.4,19.0,20.6,15.9,0.0,55313.0,69836.0,84.1,15.9,0.0,100.0,0.0,0.0,0.0,0.0,136,89.7,7.4,1.5,2.9,0.0,0.0,0.0
23450,1.0,2.78,74.5,17.6,95.0,3.0,18.0,20.6,25.6,10.1,25.6,26010.0,44657.0,63.0,37.0,9.7,6.5,10.8,1.6,10.2,61.3,1602,37.9,59.9,0.2,4.4,0.0,0.0,1.2
23451,0.0,2.11,86.3,28.1,98.3,0.7,33.1,19.0,18.4,19.7,9.8,51784.0,88573.0,80.4,19.6,23.0,29.0,2.5,0.0,21.2,24.4,5083,55.7,43.9,0.0,0.6,0.0,0.4,1.5
23452,1.0,2.22,69.3,1.6,93.5,14.0,9.3,27.8,19.4,12.9,30.7,25818.0,32886.0,53.9,46.1,7.1,1.5,10.3,16.5,8.5,56.1,6148,63.6,35.1,1.6,0.4,0.0,0.9,6.1
23453,1.0,2.38,86.2,18.2,99.0,8.5,26.9,9.0,30.7,12.3,21.2,27214.0,43316.0,62.9,37.1,3.9,24.3,12.3,21.9,0.0,37.5,3645,82.9,18.2,0.7,0.0,0.8,0.4,0.8
23454,1.0,2.56,81.6,8.2,96.5,4.9,18.2,36.9,17.0,11.8,16.1,33643.0,48850.0,62.5,37.5,16.6,29.5,6.0,3.8,0.0,44.1,3023,20.3,76.2,0.5,0.0,0.0,3.5,3.5
23455,0.0,2.45,90.5,39.3,90.5,2.6,44.8,20.2,18.3,8.5,8.3,73421.0,101604.0,91.4,8.6,0.0,47.6,0.0,0.0,11.7,40.7,4117,87.5,6.3,0.0,0.4,0.0,5.8,12.8
23456,1.0,2.17,77.1,14.7,94.9,2.8,22.8,20.9,28.5,5.7,22.1,31464.0,48215.0,54.8,45.2,13.4,14.1,9.1,7.7,12.0,43.6,2435,72.7,25.9,0.3,4.8,0.0,2.0,3.8
23457,1.0,3.62,81.4,10.2,100.0,2.0,6.9,20.8,40.5,7.3,24.6,33750.0,38338.0,74.0,26.0,11.5,7.7,26.9,0.0,6.4,47.4,1341,89.6,10.4,0.0,0.0,0.0,0.0,0.0
23458,0.0,2.69,93.4,39.1,97.4,7.4,41.9,13.8,29.8,6.5,8.1,59470.0,73343.0,75.6,24.4,12.5,6.0,16.6,11.0,8.5,45.4,11950,59.9,38.7,0.6,1.5,0.0,1.6,3.8
23459,0.0,2.71,71.5,9.6,80.6,7.6,17.5,8.2,28.8,7.8,37.7,38182.0,44481.0,91.3,8.7,0.0,0.0,0.0,100.0,0.0,0.0,1522,71.2,28.8,0.0,0.0,0.0,0.0,19.4
23461,0.0,2.3,99.1,71.6,96.7,5.0,53.1,10.6,25.9,5.8,4.6,102656.0,154118.0,80.3,19.7,16.5,13.4,11.3,16.8,2.1,39.9,4333,98.0,0.2,0.1,2.4,0.0,0.3,3.3
23462,1.0,2.52,72.4,7.4,100.0,9.4,16.7,27.8,23.1,13.5,18.9,30288.0,38969.0,65.3,34.7,10.7,16.4,7.1,11.4,18.6,35.7,1206,79.0,21.0,0.5,0.0,0.0,1.2,1.2
23463,0.0,2.56,90.4,13.0,98.2,13.0,30.6,18.5,26.2,12.7,12.0,50385.0,56911.0,83.5,16.5,21.3,8.5,3.2,6.4,3.2,57.4,1810,84.5,16.7,3.4,0.9,0.0,0.3,3.5
23464,1.0,3.5,77.0,16.9,100.0,18.2,32.5,20.5,8.5,17.9,20.5,34464.0,52013.0,81.8,18.2,0.0,0.0,84.0,0.0,0.0,16.0,479,34.4,65.6,0.0,0.0,0.0,0.0,0.0
23465,0.0,2.42,96.8,44.9,97.5,2.7,49.4,12.8,24.2,6.4,7.2,75345.0,89108.0,84.5,15.5,9.6,11.4,20.1,6.1,4.9,47.9,11908,86.7,10.8,1.6,3.1,0.0,0.2,1.8
23466,1.0,1.95,98.5,33.8,93.9,18.2,50.0,41.7,5.6,2.8,0.0,34375.0,41548.0,66.7,33.3,12.5,0.0,0.0,0.0,87.5,0.0,82,41.5,54.9,3.7,0.0,0.0,0.0,0.0
23467,1.0,2.35,75.4,20.7,98.5,7.1,24.6,12.0,27.6,12.0,23.8,38583.0,46726.0,62.1,37.9,21.6,10.8,17.1,3.6,0.0,46.8,861,63.0,33.8,4.6,2.0,0.0,0.0,0.0
23468,1.0,2.71,72.0,0.0,100.0,0.0,0.0,9.5,28.6,33.3,28.6,46250.0,45479.0,75.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,65,0.0,100.0,0.0,0.0,0.0,0.0,0.0
23469,0.0,2.4,71.6,7.6,99.7,7.5,9.1,18.6,16.3,7.2,48.9,42143.0,42964.0,71.3,28.7,5.4,32.7,17.0,23.8,0.0,21.1,1367,86.7,11.8,0.0,0.5,1.0,0.0,0.0
23470,1.0,3.03,84.4,20.2,95.4,15.1,41.1,15.8,14.5,8.4,20.3,48667.0,59903.0,67.9,32.1,12.4,9.9,24.8,14.9,0.8,37.2,1823,81.7,15.6,0.5,2.5,0.0,0.8,6.1
23471,1.0,2.73,77.7,10.3,98.6,5.3,15.7,23.3,8.2,16.9,35.8,35432.0,50801.0,61.7,38.3,9.9,6.7,12.0,24.2,5.8,41.4,2476,34.0,63.9,0.0,0.0,0.0,2.1,2.1
23472,1.0,2.15,78.4,11.6,97.0,20.1,20.7,25.1,21.0,4.8,28.4,25577.0,40040.0,55.6,44.4,13.9,1.6,36.1,3.3,0.0,45.1,740,69.1,28.2,4.1,6.4,0.0,6.4,6.4
